userid	itemid	rating
0	155920	1
0	156154	1
0	122136	1
0	126322	1
0	109683	1
0	128818	1
0	138515	1
0	125142	1
0	132325	1
0	124242	1
0	108008	1
0	103748	1
0	130185	1
1	154285	1
1	132654	1
1	148981	1
1	124694	1
1	105409	1
1	138373	1
1	103749	1
1	114132	1
1	142126	1
1	156750	1
2	152396	1
2	147741	1
2	150076	1
2	152395	1
2	154033	1
2	141843	1
2	103750	1
2	138371	1
3	119168	1
3	148143	1
3	130953	1
3	105458	1
3	141797	1
3	103750	1
3	130955	1
4	107463	1
4	103751	1
4	120149	1
4	110163	1
5	148382	1
5	147033	1
5	140590	1
5	151960	1
5	115105	1
5	112999	1
5	136727	1
5	109023	1
5	104414	1
5	149627	1
5	112944	1
5	148143	1
5	121653	1
5	142677	1
5	103751	1
5	135223	1
5	141114	1
5	143595	1
5	129922	1
5	141857	1
5	120850	1
5	149404	1
5	138056	1
5	129153	1
5	127712	1
5	134134	1
5	119131	1
5	134989	1
5	127870	1
6	103751	1
6	106247	1
6	120857	1
6	138153	1
6	134317	1
7	114312	1
7	126827	1
7	124128	1
7	118509	1
7	109974	1
7	127712	1
7	120942	1
7	103751	1
7	115026	1
7	133850	1
7	116589	1
8	137594	1
8	145283	1
8	128028	1
8	129537	1
8	119687	1
8	133316	1
8	139450	1
8	128527	1
8	103751	1
9	129285	1
9	121738	1
9	109935	1
9	143850	1
9	119176	1
9	149404	1
9	103751	1
10	103751	1
10	114664	1
10	125378	1
10	142409	1
10	147505	1
10	131965	1
10	142278	1
10	131407	1
10	126462	1
10	130298	1
10	110505	1
10	126620	1
10	142129	1
10	120017	1
10	110898	1
10	115651	1
10	118772	1
10	139875	1
10	122275	1
11	103751	1
11	140723	1
11	138155	1
11	134358	1
11	133163	1
11	135860	1
11	137815	1
11	131552	1
11	122600	1
11	118356	1
11	141807	1
11	128906	1
11	141734	1
12	140292	1
12	116733	1
12	145145	1
12	115952	1
12	146947	1
12	151687	1
12	149266	1
12	120850	1
12	141002	1
12	137762	1
13	138267	1
13	132368	1
13	121227	1
13	121968	1
13	113125	1
13	119443	1
13	133473	1
13	134147	1
13	112214	1
13	130650	1
13	116902	1
13	112019	1
13	120502	1
13	145261	1
13	129431	1
13	126759	1
13	120290	1
13	120728	1
